text,page,source,confidence,has_values,values,bbox_x0,bbox_y0,bbox_x1,bbox_y1
Dimensions,1,vector,1.0,False,,859.438720703125,762.3052368164062,892.60400390625,771.7075805664062
shown,1,vector,1.0,False,,895.9205322265625,762.3052368164062,912.503173828125,771.7075805664062
in,1,vector,1.0,False,,915.8197021484375,762.3052368164062,922.4527587890625,771.7075805664062
mm,1,vector,1.0,False,,925.769287109375,762.3052368164062,932.40234375,771.7075805664062
unless,1,vector,1.0,False,,852.8056640625,768.6831665039062,872.704833984375,778.0855102539062
otherwise,1,vector,1.0,False,,876.0213623046875,768.6831665039062,905.8701171875,778.0855102539062
specified,1,vector,1.0,False,,909.1866455078125,768.6831665039062,939.035400390625,778.0855102539062
Metric,1,vector,1.0,False,,882.1710815429688,750.9616088867188,915.3366088867188,766.6322631835938
vestas.com,1,vector,1.0,False,,723.2782592773438,766.1084594726562,756.4435424804688,775.5108032226562
1,1,vector,1.0,False,,102.0472412109375,28.508020401000977,108.68030548095703,47.31276321411133
2,1,vector,1.0,False,,246.6141357421875,28.508020401000977,253.24720764160156,47.31276321411133
3,1,vector,1.0,False,,385.5117492675781,28.508020401000977,392.1448059082031,47.31276321411133
4,1,vector,1.0,False,,521.5748291015625,28.508020401000977,528.2078857421875,47.31276321411133
5,1,vector,1.0,False,,660.472412109375,28.508020401000977,667.10546875,47.31276321411133
6,1,vector,1.0,False,,799.3699951171875,28.508020401000977,806.0030517578125,47.31276321411133
7,1,vector,1.0,False,,943.9368896484375,28.508020401000977,950.5699462890625,47.31276321411133
8,1,vector,1.0,False,,1082.83447265625,28.508020401000977,1089.467529296875,47.31276321411133
A,1,vector,1.0,False,,31.180908203125,97.95674896240234,37.81397247314453,116.76148986816406
B,1,vector,1.0,False,,31.6026611328125,225.72677612304688,38.23572540283203,244.53150939941406
C,1,vector,1.0,False,,32.23534393310547,353.07501220703125,38.868408203125,371.8797607421875
D,1,vector,1.0,False,,31.720617294311523,483.4687194824219,38.35368347167969,502.2734680175781
E,1,vector,1.0,False,,32.44627380371094,608.4039306640625,39.07933807373047,627.2086791992188
F,1,vector,1.0,False,,32.86813735961914,738.586669921875,39.50120544433594,757.3914184570312
600,1,vector,1.0,False,,73.24604797363281,111.28780364990234,93.1452407836914,130.09254455566406
0,1,vector,1.0,False,,86.60946655273438,285.6184997558594,93.2425308227539,304.4232482910156
100,1,vector,1.0,False,,75.06837463378906,267.3880920410156,94.96756744384766,286.1928405761719
137,1,vector,1.0,False,,75.67574310302734,245.28860473632812,95.57493591308594,264.0933532714844
267,1,vector,1.0,False,,73.24604797363281,223.90921020507812,93.1452407836914,242.7139434814453
305,1,vector,1.0,False,,74.46089172363281,181.00576782226562,94.3600845336914,199.8105010986328
282,1,vector,1.0,False,,73.24604797363281,201.42953491210938,93.1452407836914,220.23426818847656
317,1,vector,1.0,False,,75.67574310302734,159.29287719726562,95.57493591308594,178.0976104736328
650,1,vector,1.0,False,,1056.686279296875,196.7253875732422,1075.490966796875,216.62457275390625
12x,1,vector,1.0,False,,335.8531799316406,116.2184066772461,355.7523498535156,135.0231475830078
65,1,vector,1.0,False,,371.4892883300781,116.2184066772461,384.7554016113281,135.0231475830078
1,1,vector,1.0,False,,394.16552734375,116.2184066772461,400.798583984375,135.0231475830078
2x,1,vector,1.0,False,,429.62628173828125,139.29916381835938,442.89239501953125,158.10389709472656
115,1,vector,1.0,False,,460.402587890625,139.29916381835938,480.3017578125,158.10389709472656
1,1,vector,1.0,False,,486.11676025390625,139.29916381835938,492.74981689453125,158.10389709472656
1,1,vector,1.0,False,,273.745849609375,493.76361083984375,292.55059814453125,500.39666748046875
0,1,vector,1.0,False,,273.15838623046875,487.57763671875,284.4412536621094,491.5574645996094
-1,1,vector,1.0,False,,279.9615478515625,487.57763671875,291.2444152832031,495.53729248046875
1,1,vector,1.0,False,,57.31244659423828,455.7310791015625,76.1171875,462.3641357421875
0,1,vector,1.0,False,,56.7249755859375,449.5450744628906,68.00782775878906,453.52490234375
-1,1,vector,1.0,False,,63.528141021728516,449.5450744628906,74.81099700927734,457.5047302246094
60,1,vector,1.0,False,,373.17987060546875,535.6427612304688,386.44598388671875,554.447509765625
25,1,vector,1.0,False,,450.0668640136719,521.287353515625,468.8716125488281,534.553466796875
273,1,vector,1.0,False,,841.2315063476562,250.15843200683594,860.0362548828125,270.0576171875
20,1,vector,1.0,False,,1128.0570068359375,311.2730407714844,1141.3231201171875,330.0777893066406
3209,1,vector,1.0,False,,1024.1822509765625,344.6728820800781,1042.9869384765625,371.2051086425781
0,1,vector,1.0,False,,118.79644012451172,345.1344909667969,137.60118103027344,351.7675476074219
189,1,vector,1.0,False,,168.11929321289062,343.409423828125,186.9240264892578,363.30859375
260,1,vector,1.0,False,,188.18856811523438,345.2317199707031,206.99330139160156,365.1308898925781
331,1,vector,1.0,False,,208.25787353515625,342.194580078125,227.06260681152344,362.09375
401,1,vector,1.0,False,,228.3271484375,343.409423828125,247.1318817138672,363.30859375
472,1,vector,1.0,False,,248.39645385742188,345.2317199707031,267.2012023925781,365.1308898925781
615,1,vector,1.0,False,,288.76177978515625,342.802001953125,307.5665283203125,362.701171875
726,1,vector,1.0,False,,320.2263488769531,345.2317199707031,339.0310974121094,365.1308898925781
856,1,vector,1.0,False,,357.0767517089844,344.624267578125,375.8815002441406,364.5234375
2162,1,vector,1.0,False,,727.3948364257812,343.4580383300781,746.1995849609375,369.9902648925781
20,1,vector,1.0,False,,316.4869384765625,525.0720825195312,329.7530517578125,543.8768310546875
