*BOM Import Format
*Export Date: 2025-12-04T16:09:16.710213
*Source: MongoDB utkarshproduction.BOMAUTOMATION
*Confidence Threshold: 0.9
*
ITEM_NO	DESCRIPTION	QUANTITY	UNIT	CONFIDENCE	SOURCE
763	EN	1	PC	1.00	vector
764	10025:2004-S355J2	1	PC	1.00	vector
765	+	1	PC	1.00	vector
766	N	1	PC	1.00	vector
767	+	1	PC	1.00	vector
768	Option	1	PC	1.00	vector
769	5	1	PC	1.00	vector
770	+	1	PC	1.00	vector
771	EN	1	PC	1.00	vector
772	10164	1	PC	1.00	vector
773	Z25	1	PC	1.00	vector
774	US/BRAZIL	1	PC	1.00	vector
775	(19)	1	PC	1.00	vector
776	ASTM	1	PC	1.00	vector
777	A572	1	PC	1.00	vector
778	GR.50+NORMALIZATION+	1	PC	1.00	vector
779	ASTM	1	PC	1.00	vector
780	A770	1	PC	1.00	vector
781	ZT	1	PC	1.00	vector
782	Material	1	PC	1.00	vector
783	and	1	PC	1.00	vector
784	thickness	1	PC	1.00	vector
785	acc.	1	PC	1.00	vector
786	to	1	PC	1.00	vector
787	Table	1	PC	1.00	vector
788	01	1	PC	1.00	vector
789	Table	1	PC	1.00	vector
790	01	1	PC	1.00	vector
791	B	1	PC	1.00	vector
792	C	1	PC	1.00	vector
793	A	1	PC	1.00	vector
794	Basic	1	PC	1.00	vector
795	material:	1	PC	1.00	vector
796	Plate	1	PC	1.00	vector
797	EN	1	PC	1.00	vector
798	10029:1991/AC:1991	1	PC	1.00	vector
799	A	1	PC	1.00	vector
800	D	1	PC	1.00	vector
801	Form	1	PC	1.00	vector
802	acc.	1	PC	1.00	vector
803	to	1	PC	1.00	vector
804	DXF	1	PC	1.00	vector
805	Form	1	PC	1.00	vector
806	acc.	1	PC	1.00	vector
807	to	1	PC	1.00	vector
808	DXF	1	PC	1.00	vector
809	B	1	PC	1.00	vector
810	C	1	PC	1.00	vector
811	1:20	1	PC	1.00	vector
812	A	1	PC	1.00	vector
813	1:2	1	PC	1.00	vector
814	ALL	1	PC	1.00	vector
815	VISIBLE	1	PC	1.00	vector
816	SIGNS	1	PC	1.00	vector
817	OF	1	PC	1.00	vector
818	EDGE	1	PC	1.00	vector
819	DISCONTINUITIES	1	PC	1.00	vector
820	TO	1	PC	1.00	vector
821	BE	1	PC	1.00	vector
822	REMOVED.	1	PC	1.00	vector
823	THE	1	PC	1.00	vector
824	CUT	1	PC	1.00	vector
825	AREAS	1	PC	1.00	vector
826	ARE	1	PC	1.00	vector
827	TO	1	PC	1.00	vector
828	BE	1	PC	1.00	vector
829	MACHINED	1	PC	1.00	vector
830	OR	1	PC	1.00	vector
831	GROUND	1	PC	1.00	vector
832	AN	1	PC	1.00	vector
833	ALL	1	PC	1.00	vector
834	BURRS	1	PC	1.00	vector
835	TO	1	PC	1.00	vector
836	BE	1	PC	1.00	vector
837	REMOVED.	1	PC	1.00	vector
838	Form	1	PC	1.00	vector
839	acc.	1	PC	1.00	vector
840	to	1	PC	1.00	vector
841	DXF	1	PC	1.00	vector
842	B	1	PC	1.00	vector
843	1:2	1	PC	1.00	vector
844	C	1	PC	1.00	vector
845	1:2	1	PC	1.00	vector
846	D	1	PC	1.00	vector
847	1:10	1	PC	1.00	vector
848	All	1	PC	1.00	vector
849	kinds	1	PC	1.00	vector
850	of	1	PC	1.00	vector
851	cutting	1	PC	1.00	vector
852	dimensions	1	PC	1.00	vector
853	without	1	PC	1.00	vector
854	tolerances	1	PC	1.00	vector
855	acc.	1	PC	1.00	vector
856	to	1	PC	1.00	vector
857	ISO	1	PC	1.00	vector
858	9013:2002	1	PC	1.00	vector
859	-	1	PC	1.00	vector
860	332	1	PC	1.00	vector
861	Dimensions	1	PC	1.00	vector
862	without	1	PC	1.00	vector
863	tolerances	1	PC	1.00	vector
864	acc.	1	PC	1.00	vector
865	to	1	PC	1.00	vector
866	ISO	1	PC	1.00	vector
867	2768:1989	1	PC	1.00	vector
868	-c	1	PC	1.00	vector
869	L	1	PC	1.00	vector
870	-1	1	PC	1.00	vector
871	-3	1	PC	1.00	vector
872	Unspecified	1	PC	1.00	vector
873	edges	1	PC	1.00	vector
874	acc.	1	PC	1.00	vector
875	to	1	PC	1.00	vector
876	ISO	1	PC	1.00	vector
877	13715:2000	1	PC	1.00	vector
878	Unspecified	1	PC	1.00	vector
879	hole	1	PC	1.00	vector
880	edges	1	PC	1.00	vector
881	acc.	1	PC	1.00	vector
882	to	1	PC	1.00	vector
883	ISO	1	PC	1.00	vector
884	13715:2000	1	PC	1.00	vector
885	-1	1	PC	1.00	vector
886	-3	1	PC	1.00	vector
887	Tolerances	1	PC	1.00	vector
888	acc.	1	PC	1.00	vector
889	to	1	PC	1.00	vector
890	basic	1	PC	1.00	vector
891	material	1	PC	1.00	vector
892	standard	1	PC	1.00	vector
893	are	1	PC	1.00	vector
894	accepted	1	PC	1.00	vector
895	To	1	PC	1.00	vector
896	be	1	PC	1.00	vector
897	produced	1	PC	1.00	vector
898	acc.	1	PC	1.00	vector
899	to	1	PC	1.00	vector
900	current	1	PC	1.00	vector
901	revision	1	PC	1.00	vector
902	of	1	PC	1.00	vector
903	Technical	1	PC	1.00	vector
904	Purchase	1	PC	1.00	vector
905	Specification	1	PC	1.00	vector
906	901529	1	PC	1.00	vector
907	VESTAS	1	PC	1.00	vector
908	PROPRIETARY	1	PC	1.00	vector
909	NOTICE:	1	PC	1.00	vector
910	This	1	PC	1.00	vector
911	document	1	PC	1.00	vector
912	contains	1	PC	1.00	vector
913	valuable	1	PC	1.00	vector
914	confidential	1	PC	1.00	vector
915	information	1	PC	1.00	vector
916	of	1	PC	1.00	vector
917	Vestas	1	PC	1.00	vector
918	Wind	1	PC	1.00	vector
919	Systems	1	PC	1.00	vector
920	A/S.	1	PC	1.00	vector
921	It	1	PC	1.00	vector
922	is	1	PC	1.00	vector
923	protected	1	PC	1.00	vector
924	by	1	PC	1.00	vector
925	copyright	1	PC	1.00	vector
926	law	1	PC	1.00	vector
927	as	1	PC	1.00	vector
928	an	1	PC	1.00	vector
929	unpublished	1	PC	1.00	vector
930	work.	1	PC	1.00	vector
931	Vestas	1	PC	1.00	vector
932	reserves	1	PC	1.00	vector
933	all	1	PC	1.00	vector
934	patent,	1	PC	1.00	vector
935	copyright,	1	PC	1.00	vector
936	trade	1	PC	1.00	vector
937	secret,	1	PC	1.00	vector
938	and	1	PC	1.00	vector
939	other	1	PC	1.00	vector
940	proprietary	1	PC	1.00	vector
941	rights	1	PC	1.00	vector
942	to	1	PC	1.00	vector
943	it.	1	PC	1.00	vector
944	The	1	PC	1.00	vector
945	information	1	PC	1.00	vector
946	in	1	PC	1.00	vector
947	this	1	PC	1.00	vector
948	document	1	PC	1.00	vector
949	may	1	PC	1.00	vector
950	not	1	PC	1.00	vector
951	be	1	PC	1.00	vector
952	used,	1	PC	1.00	vector
953	reproduced,	1	PC	1.00	vector
954	or	1	PC	1.00	vector
955	disclosed	1	PC	1.00	vector
956	except	1	PC	1.00	vector
957	if	1	PC	1.00	vector
958	and	1	PC	1.00	vector
959	to	1	PC	1.00	vector
960	the	1	PC	1.00	vector
961	extent	1	PC	1.00	vector
962	rights	1	PC	1.00	vector
963	are	1	PC	1.00	vector
964	expressly	1	PC	1.00	vector
965	granted	1	PC	1.00	vector
966	by	1	PC	1.00	vector
967	Vestas	1	PC	1.00	vector
968	in	1	PC	1.00	vector
969	writing	1	PC	1.00	vector
970	and	1	PC	1.00	vector
971	subject	1	PC	1.00	vector
972	to	1	PC	1.00	vector
973	applicable	1	PC	1.00	vector
974	conditions.	1	PC	1.00	vector
975	Vestas	1	PC	1.00	vector
976	disclaims	1	PC	1.00	vector
977	all	1	PC	1.00	vector
978	warranties	1	PC	1.00	vector
979	except	1	PC	1.00	vector
980	as	1	PC	1.00	vector
981	expressly	1	PC	1.00	vector
982	granted	1	PC	1.00	vector
983	by	1	PC	1.00	vector
984	written	1	PC	1.00	vector
985	agreement	1	PC	1.00	vector
986	and	1	PC	1.00	vector
987	is	1	PC	1.00	vector
988	not	1	PC	1.00	vector
989	responsible	1	PC	1.00	vector
990	for	1	PC	1.00	vector
991	unauthorized	1	PC	1.00	vector
992	uses,	1	PC	1.00	vector
993	for	1	PC	1.00	vector
994	which	1	PC	1.00	vector
995	it	1	PC	1.00	vector
996	may	1	PC	1.00	vector
997	pursue	1	PC	1.00	vector
998	legal	1	PC	1.00	vector
999	remedies	1	PC	1.00	vector
1000	against	1	PC	1.00	vector
1001	responsible	1	PC	1.00	vector
1002	parties.	1	PC	1.00	vector
1003	20	1	PC	0.97	ocr
1004	20	1	PC	0.97	ocr
1005	CONFIDENTIAL	1	PC	0.96	ocr
1006	to	1	PC	0.96	ocr
1007	DXF	1	PC	0.96	ocr
1008	650	1	PC	0.96	ocr
1009	20	1	PC	0.96	ocr
1010	260	1	PC	0.96	ocr
1011	472	1	PC	0.96	ocr
1012	856	1	PC	0.96	ocr
1013	967	1	PC	0.96	ocr
1014	2162	1	PC	0.96	ocr
1015	2812	1	PC	0.96	ocr
1016	Table	1	PC	0.96	ocr
1017	01	1	PC	0.96	ocr
1018	produced	1	PC	0.96	ocr
1019	acc.	1	PC	0.96	ocr
1020	revision	1	PC	0.96	ocr
1021	of	1	PC	0.96	ocr
1022	Purchase	1	PC	0.96	ocr
1023	Specification	1	PC	0.96	ocr
1024	acc.	1	PC	0.96	ocr
1025	basic	1	PC	0.96	ocr
1026	material	1	PC	0.96	ocr
1027	standard	1	PC	0.96	ocr
1028	are	1	PC	0.96	ocr
1029	of	1	PC	0.96	ocr
1030	cutting	1	PC	0.96	ocr
1031	dimensions	1	PC	0.96	ocr
1032	without	1	PC	0.96	ocr
1033	acc.	1	PC	0.96	ocr
1034	Dimensions	1	PC	0.96	ocr
1035	tolerances	1	PC	0.96	ocr
1036	to	1	PC	0.96	ocr
1037	25	1	PC	0.96	ocr
1038	Unspecified	1	PC	0.96	ocr
1039	edges	1	PC	0.96	ocr
1040	acc.	1	PC	0.96	ocr
1041	ALL	1	PC	0.96	ocr
1042	VISIBLE	1	PC	0.96	ocr
1043	SIGNS	1	PC	0.96	ocr
1044	OF	1	PC	0.96	ocr
1045	BE	1	PC	0.96	ocr
1046	THE	1	PC	0.96	ocr
1047	CUT	1	PC	0.96	ocr
1048	MACHINED	1	PC	0.96	ocr
1049	OR	1	PC	0.96	ocr
1050	AN	1	PC	0.96	ocr
1051	BURRS	1	PC	0.96	ocr
1052	BE	1	PC	0.96	ocr
1053	Unspecified	1	PC	0.96	ocr
1054	hole	1	PC	0.96	ocr
1055	edges	1	PC	0.96	ocr
1056	100	1	PC	0.96	ocr
1057	3	1	PC	0.96	ocr
1058	Plate	1	PC	0.96	ocr
1059	Reviewed	1	PC	0.96	ocr
1060	Reviewed	1	PC	0.96	ocr
1061	+	1	PC	0.96	ocr
1062	Option	1	PC	0.96	ocr
1063	5	1	PC	0.96	ocr
1064	387909	1	PC	0.96	ocr
1065	FOUNDATION,	1	PC	0.96	ocr
1066	Table	1	PC	0.96	ocr
1067	+	1	PC	0.96	ocr
1068	Option	1	PC	0.96	ocr
1069	EN	1	PC	0.96	ocr
1070	(19)	1	PC	0.96	ocr
1071	PROPRIETARY	1	PC	0.96	ocr
1072	Ver	1	PC	0.96	ocr
1073	387909	1	PC	0.96	ocr
1074	Exported	1	PC	0.96	ocr
1075	from	1	PC	0.96	ocr
1076	DMS:	1	PC	0.96	ocr
1077	2023-02-06	1	PC	0.96	ocr
1078	CONFIDENTIAL	1	PC	0.96	ocr
1079	to	1	PC	0.96	ocr
1080	DXF	1	PC	0.96	ocr
1081	650	1	PC	0.96	ocr
1082	20	1	PC	0.96	ocr
1083	260	1	PC	0.96	ocr
1084	472	1	PC	0.96	ocr
1085	856	1	PC	0.96	ocr
1086	967	1	PC	0.96	ocr
1087	2162	1	PC	0.96	ocr
1088	2812	1	PC	0.96	ocr
1089	Table	1	PC	0.96	ocr
1090	01	1	PC	0.96	ocr
1091	produced	1	PC	0.96	ocr
1092	acc.	1	PC	0.96	ocr
1093	revision	1	PC	0.96	ocr
1094	of	1	PC	0.96	ocr
1095	Purchase	1	PC	0.96	ocr
1096	Specification	1	PC	0.96	ocr
1097	acc.	1	PC	0.96	ocr
1098	basic	1	PC	0.96	ocr
1099	material	1	PC	0.96	ocr
1100	standard	1	PC	0.96	ocr
1101	are	1	PC	0.96	ocr
1102	of	1	PC	0.96	ocr
1103	cutting	1	PC	0.96	ocr
1104	dimensions	1	PC	0.96	ocr
1105	without	1	PC	0.96	ocr
1106	acc.	1	PC	0.96	ocr
1107	Dimensions	1	PC	0.96	ocr
1108	tolerances	1	PC	0.96	ocr
1109	to	1	PC	0.96	ocr
1110	25	1	PC	0.96	ocr
1111	Unspecified	1	PC	0.96	ocr
1112	edges	1	PC	0.96	ocr
1113	acc.	1	PC	0.96	ocr
1114	ALL	1	PC	0.96	ocr
1115	VISIBLE	1	PC	0.96	ocr
1116	SIGNS	1	PC	0.96	ocr
1117	OF	1	PC	0.96	ocr
1118	BE	1	PC	0.96	ocr
1119	THE	1	PC	0.96	ocr
1120	CUT	1	PC	0.96	ocr
1121	MACHINED	1	PC	0.96	ocr
1122	OR	1	PC	0.96	ocr
1123	AN	1	PC	0.96	ocr
1124	BURRS	1	PC	0.96	ocr
1125	BE	1	PC	0.96	ocr
1126	Unspecified	1	PC	0.96	ocr
1127	hole	1	PC	0.96	ocr
1128	edges	1	PC	0.96	ocr
1129	100	1	PC	0.96	ocr
1130	3	1	PC	0.96	ocr
1131	Plate	1	PC	0.96	ocr
1132	Reviewed	1	PC	0.96	ocr
1133	Reviewed	1	PC	0.96	ocr
1134	+	1	PC	0.96	ocr
1135	Option	1	PC	0.96	ocr
1136	5	1	PC	0.96	ocr
1137	387909	1	PC	0.96	ocr
1138	FOUNDATION,	1	PC	0.96	ocr
1139	Table	1	PC	0.96	ocr
1140	+	1	PC	0.96	ocr
1141	Option	1	PC	0.96	ocr
1142	EN	1	PC	0.96	ocr
1143	(19)	1	PC	0.96	ocr
1144	PROPRIETARY	1	PC	0.96	ocr
1145	Ver	1	PC	0.96	ocr
1146	387909	1	PC	0.96	ocr
1147	Exported	1	PC	0.96	ocr
1148	from	1	PC	0.96	ocr
1149	DMS:	1	PC	0.96	ocr
1150	2023-02-06	1	PC	0.96	ocr
1151	to	1	PC	0.95	ocr
1152	[305	1	PC	0.95	ocr
1153	273	1	PC	0.95	ocr
1154	to	1	PC	0.95	ocr
1155	Material	1	PC	0.95	ocr
1156	and	1	PC	0.95	ocr
1157	acc.	1	PC	0.95	ocr
1158	current	1	PC	0.95	ocr
1159	Technical	1	PC	0.95	ocr
1160	accepted	1	PC	0.95	ocr
1161	acc.	1	PC	0.95	ocr
1162	REMOVED.	1	PC	0.95	ocr
1163	AREAS	1	PC	0.95	ocr
1164	BE	1	PC	0.95	ocr
1165	ALL	1	PC	0.95	ocr
1166	REMOVED.	1	PC	0.95	ocr
1167	A	1	PC	0.95	ocr
1168	195	1	PC	0.95	ocr
1169	TOP	1	PC	0.95	ocr
1170	PLATE	1	PC	0.95	ocr
1171	01	1	PC	0.95	ocr
1172	MATERIAL	1	PC	0.95	ocr
1173	5	1	PC	0.95	ocr
1174	+	1	PC	0.95	ocr
1175	Wind	1	PC	0.95	ocr
1176	by	1	PC	0.95	ocr
1177	to	1	PC	0.95	ocr
1178	[305	1	PC	0.95	ocr
1179	273	1	PC	0.95	ocr
1180	to	1	PC	0.95	ocr
1181	Material	1	PC	0.95	ocr
1182	and	1	PC	0.95	ocr
1183	acc.	1	PC	0.95	ocr
1184	current	1	PC	0.95	ocr
1185	Technical	1	PC	0.95	ocr
1186	accepted	1	PC	0.95	ocr
1187	acc.	1	PC	0.95	ocr
1188	REMOVED.	1	PC	0.95	ocr
1189	AREAS	1	PC	0.95	ocr
1190	BE	1	PC	0.95	ocr
1191	ALL	1	PC	0.95	ocr
1192	REMOVED.	1	PC	0.95	ocr
1193	A	1	PC	0.95	ocr
1194	195	1	PC	0.95	ocr
1195	TOP	1	PC	0.95	ocr
1196	PLATE	1	PC	0.95	ocr
1197	01	1	PC	0.95	ocr
1198	MATERIAL	1	PC	0.95	ocr
1199	5	1	PC	0.95	ocr
1200	+	1	PC	0.95	ocr
1201	Wind	1	PC	0.95	ocr
1202	by	1	PC	0.95	ocr
1203	31824	1	PC	0.94	ocr
1204	600	1	PC	0.94	ocr
1205	189	1	PC	0.94	ocr
1206	401	1	PC	0.94	ocr
1207	DXF	1	PC	0.94	ocr
1208	To	1	PC	0.94	ocr
1209	Tolerances	1	PC	0.94	ocr
1210	ARE	1	PC	0.94	ocr
1211	TO	1	PC	0.94	ocr
1212	to	1	PC	0.94	ocr
1213	2008-01-13	1	PC	0.94	ocr
1214	1:10	1	PC	0.94	ocr
1215	REAR	1	PC	0.94	ocr
1216	10164	1	PC	0.94	ocr
1217	reverse	1	PC	0.94	ocr
1218	31824	1	PC	0.94	ocr
1219	600	1	PC	0.94	ocr
1220	189	1	PC	0.94	ocr
1221	401	1	PC	0.94	ocr
1222	DXF	1	PC	0.94	ocr
1223	To	1	PC	0.94	ocr
1224	Tolerances	1	PC	0.94	ocr
1225	ARE	1	PC	0.94	ocr
1226	TO	1	PC	0.94	ocr
1227	to	1	PC	0.94	ocr
1228	2008-01-13	1	PC	0.94	ocr
1229	1:10	1	PC	0.94	ocr
1230	REAR	1	PC	0.94	ocr
1231	10164	1	PC	0.94	ocr
1232	reverse	1	PC	0.94	ocr
1233	thickness	1	PC	0.93	ocr
1234	to	1	PC	0.93	ocr
1235	to	1	PC	0.93	ocr
1236	901529	1	PC	0.93	ocr
1237	to	1	PC	0.93	ocr
1238	/	1	PC	0.93	ocr
1239	EDGE	1	PC	0.93	ocr
1240	Wind	1	PC	0.93	ocr
1241	A/S.	1	PC	0.93	ocr
1242	engineering	1	PC	0.93	ocr
1243	07	1	PC	0.93	ocr
1244	-	1	PC	0.93	ocr
1245	Approved	1	PC	0.93	ocr
1246	by	1	PC	0.93	ocr
1247	thickness	1	PC	0.93	ocr
1248	to	1	PC	0.93	ocr
1249	to	1	PC	0.93	ocr
1250	901529	1	PC	0.93	ocr
1251	to	1	PC	0.93	ocr
1252	/	1	PC	0.93	ocr
1253	EDGE	1	PC	0.93	ocr
1254	Wind	1	PC	0.93	ocr
1255	A/S.	1	PC	0.93	ocr
1256	engineering	1	PC	0.93	ocr
1257	07	1	PC	0.93	ocr
1258	-	1	PC	0.93	ocr
1259	Approved	1	PC	0.93	ocr
1260	by	1	PC	0.93	ocr
1261	331	1	PC	0.92	ocr
1262	be	1	PC	0.92	ocr
1263	to	1	PC	0.92	ocr
1264	GROUND	1	PC	0.92	ocr
1265	EN	1	PC	0.92	ocr
1266	kebon	1	PC	0.92	ocr
1267	date	1	PC	0.92	ocr
1268	description	1	PC	0.92	ocr
1269	(20)	1	PC	0.92	ocr
1270	US/BRAZIL	1	PC	0.92	ocr
1271	or	1	PC	0.92	ocr
1272	quantitative	1	PC	0.92	ocr
1273	/762849	1	PC	0.92	ocr
1274	-	1	PC	0.92	ocr
1275	331	1	PC	0.92	ocr
1276	be	1	PC	0.92	ocr
1277	to	1	PC	0.92	ocr
1278	GROUND	1	PC	0.92	ocr
1279	EN	1	PC	0.92	ocr
1280	kebon	1	PC	0.92	ocr
1281	date	1	PC	0.92	ocr
1282	description	1	PC	0.92	ocr
1283	(20)	1	PC	0.92	ocr
1284	US/BRAZIL	1	PC	0.92	ocr
1285	or	1	PC	0.92	ocr
1286	quantitative	1	PC	0.92	ocr
1287	/762849	1	PC	0.92	ocr
1288	-	1	PC	0.92	ocr
1289	397	1	PC	0.91	ocr
1290	-332	1	PC	0.91	ocr
1291	2768:1989	1	PC	0.91	ocr
1292	EN	1	PC	0.91	ocr
1293	KAJAY	1	PC	0.91	ocr
1294	by	1	PC	0.91	ocr
1295	10025:2004	1	PC	0.91	ocr
1296	-	1	PC	0.91	ocr
1297	AKMNK	1	PC	0.91	ocr
1298	397	1	PC	0.91	ocr
1299	-332	1	PC	0.91	ocr
1300	2768:1989	1	PC	0.91	ocr
1301	EN	1	PC	0.91	ocr
1302	KAJAY	1	PC	0.91	ocr
1303	by	1	PC	0.91	ocr
1304	10025:2004	1	PC	0.91	ocr
1305	-	1	PC	0.91	ocr
1306	AKMNK	1	PC	0.91	ocr
1307	DXF	1	PC	0.90	ocr
1308	>	1	PC	0.90	ocr
1309	kinds	1	PC	0.90	ocr
1310	9013:2002	1	PC	0.90	ocr
1311	EN	1	PC	0.90	ocr
1312	CATEGORY	1	PC	0.90	ocr
1313	EU	1	PC	0.90	ocr
1314	or	1	PC	0.90	ocr
1315	DXF	1	PC	0.90	ocr
1316	>	1	PC	0.90	ocr
1317	kinds	1	PC	0.90	ocr
1318	9013:2002	1	PC	0.90	ocr
1319	EN	1	PC	0.90	ocr
1320	CATEGORY	1	PC	0.90	ocr
1321	EU	1	PC	0.90	ocr
1322	or	1	PC	0.90	ocr
