Internal Reference,Product Name,Quantity,UoM,Confidence,Source,Specifications,Notes
CAD-H-1,10,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,1,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,3182,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,1,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,17,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,1,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Item,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,no.,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Mass,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,(kg),1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Certificate,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Format,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Status,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Revised,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,by,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Created,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,date,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Created,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,by,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,762849,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,195,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,EN,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,10204:2004-3.1,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,A3,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,KAJAY,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,2008-01-13,1,Unit(s),1.00,vector,date:2008,"Imported from H.pdf, Page 1"
CAD-H-1,kebon,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Material,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,/,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Specification,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Scale,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Change,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,no.,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,PDM,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,ver.,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Reviewed,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,date,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Reviewed,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,by,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,EN,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,10025:2004,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,-,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,S355J2+N,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,+,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Option,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,5,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,1:10,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,387909,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,7.5,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,-,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Proj.,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Item,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
